episode_cluster_bootstrap_ci,lag,metric,pair_count,quantity,scale,value
"[0.9386631671579321, 0.9475209530737786]",3,dim_1,24272,autocorrelation,raw,0.9434429479888117
"[0.9080866938736181, 0.9192250608591327]",3,dim_2,24272,autocorrelation,raw,0.9138343245889764
"[0.8522603707211973, 0.8846710370721346]",3,dim_3,24272,autocorrelation,raw,0.8700820782204792
"[0.8741869043278172, 0.8915804826594543]",3,dim_4,24272,autocorrelation,raw,0.8835144694407142
"[0.9363126274232764, 0.9521715967206394]",3,dim_5,24272,autocorrelation,raw,0.9454652030469171
"[0.8995137134043791, 0.911870130935641]",3,dim_6,24272,autocorrelation,raw,0.9059854063899663
"[0.44892321465093693, 0.5231118002053499]",3,dim_0,,normalized_rms_difference,ACT,0.48532206222370844
"[0.28896213118538067, 0.30740077703052]",3,dim_1,,normalized_rms_difference,ACT,0.2980404232866293
"[0.4161200419136605, 0.46859514023892734]",3,dim_2,,normalized_rms_difference,ACT,0.441586496035142
"[0.5251905354859561, 0.5890547922436237]",3,dim_3,,normalized_rms_difference,ACT,0.5563823895010813
"[0.5754978517153111, 0.6448877155064995]",3,dim_4,,normalized_rms_difference,ACT,0.6094071461980676
"[0.2653740825130798, 0.2951741582249606]",3,dim_5,,normalized_rms_difference,ACT,0.2804313382900687
"[0.41875098150810824, 0.4486165390522852]",3,dim_6,,normalized_rms_difference,ACT,0.43340428617106674
"[0.39279162776515403, 0.4407812239763575]",3,translation,,normalized_rms_difference,ACT,0.416078610951721
"[0.4797697880855408, 0.527387801116539]",3,rotation,,normalized_rms_difference,ACT,0.5031832564382368
"[0.4187509815081083, 0.4486165390522852]",3,gripper,,normalized_rms_difference,ACT,0.4334042861710671
"[0.4398350786617952, 0.48486139918921434]",3,arm,,normalized_rms_difference,ACT,0.4616897226770929
"[0.44892321465093693, 0.5231118002053499]",3,dim_0,,normalized_rms_difference,SmolVLA,0.48532206222370844
"[0.28896213118538067, 0.30740077703052]",3,dim_1,,normalized_rms_difference,SmolVLA,0.2980404232866293
"[0.4161200419136605, 0.46859514023892734]",3,dim_2,,normalized_rms_difference,SmolVLA,0.441586496035142
"[0.5251905354859561, 0.5890547922436237]",3,dim_3,,normalized_rms_difference,SmolVLA,0.5563823895010813
"[0.5754978517153111, 0.6448877155064995]",3,dim_4,,normalized_rms_difference,SmolVLA,0.6094071461980676
"[0.2653740825130798, 0.2951741582249606]",3,dim_5,,normalized_rms_difference,SmolVLA,0.2804313382900687
"[0.41875098150810824, 0.4486165390522852]",3,dim_6,,normalized_rms_difference,SmolVLA,0.43340428617106674
"[0.39279162776515403, 0.4407812239763575]",3,translation,,normalized_rms_difference,SmolVLA,0.416078610951721
"[0.4797697880855408, 0.527387801116539]",3,rotation,,normalized_rms_difference,SmolVLA,0.5031832564382368
"[0.4187509815081083, 0.4486165390522852]",3,gripper,,normalized_rms_difference,SmolVLA,0.4334042861710671
"[0.4398350786617952, 0.48486139918921434]",3,arm,,normalized_rms_difference,SmolVLA,0.4616897226770929
"[0.0437300700736583, 0.050190215275392365]",3,gripper,24272,gripper_sign_disagreement,raw_sign,0.04684410019775873
"[0.8198057396687373, 0.845546124435352]",4,dim_0,24099,autocorrelation,raw,0.8325884483258247
"[0.9034827590320522, 0.9165247878147895]",4,dim_1,24099,autocorrelation,raw,0.9105360954723547
"[0.8472287736340857, 0.8654358284295199]",4,dim_2,24099,autocorrelation,raw,0.8564325947637159
"[0.7783244965536567, 0.8246064737517353]",4,dim_3,24099,autocorrelation,raw,0.8038038110292509
"[0.8070101473083406, 0.8336088706843591]",4,dim_4,24099,autocorrelation,raw,0.8214736372476638
"[0.9000724826860365, 0.9241904609472605]",4,dim_5,24099,autocorrelation,raw,0.9139027497969502
"[0.8652963836004426, 0.8818956359453627]",4,dim_6,24099,autocorrelation,raw,0.8740072999530508
"[0.5699981411115465, 0.6654004906396052]",4,dim_0,,normalized_rms_difference,ACT,0.6173320132199748
"[0.36457219166375915, 0.38689690079850436]",4,dim_1,,normalized_rms_difference,ACT,0.3753682613947438
"[0.5379026302003274, 0.6051447132184704]",4,dim_2,,normalized_rms_difference,ACT,0.57103707395519
"[0.6468631916084147, 0.7237419280057941]",4,dim_3,,normalized_rms_difference,ACT,0.6843779167812889
"[0.7120619205135587, 0.797259663470946]",4,dim_4,,normalized_rms_difference,ACT,0.7537361954023752
"[0.33393094505463394, 0.37154011840213286]",4,dim_5,,normalized_rms_difference,ACT,0.3531061049216016
"[0.4850941828599013, 0.5195232990146648]",4,dim_6,,normalized_rms_difference,ACT,0.5019138478788489
"[0.5017214336893934, 0.5627818131043777]",4,translation,,normalized_rms_difference,ACT,0.5316902249869577
