task_key,split,group,delay_steps,valid_target_count,valid_episodes,utility,utility_sd_across_episodes,revision_or_abs_diff,revision_or_abs_diff_sd_across_episodes,translation_revision,rotation_revision,gripper_sign_disagreement
libero_spatial:task0,development,arm,4,1528,10,0.5623076766729355,0.05408360555011349,0.4376923322677612,0.054083613605935735,0.6043516665697097,1.1749160289764404,0.15661147143691778
libero_spatial:task0,development,arm,8,1488,10,0.5497677952051163,0.057896053814540875,0.4502322107553482,0.0578960543509939,0.6480486989021301,1.2251214325428008,0.15048340763896703
libero_spatial:task0,development,arm,16,1408,10,0.5247688800096512,0.052601761164220315,0.47523113489151003,0.052601767032978065,0.7276526093482971,1.32663232088089,0.2023034669458866
libero_spatial:task0,development,arm,20,1368,10,0.5205814063549041,0.05683905765261361,0.4794185996055603,0.056839066708385115,0.7447336196899415,1.3673161029815675,0.21883034314960242
libero_spatial:task0,development,arm,32,1248,10,0.5170838713645936,0.04730559726978183,0.48291611671447754,0.04730560614173118,0.7281750291585922,1.3870010375976562,0.28018415719270706
libero_spatial:task0,development,gripper,0,1568,10,1.0,0.0,0.0,0.0,,,0.0
libero_spatial:task0,development,gripper,4,1528,10,0.8377533257007599,0.12200461342617361,0.3250889204442501,0.24445004560340697,,,0.15661147143691778
libero_spatial:task0,development,gripper,8,1488,10,0.843394649028778,0.14281418094964404,0.3137506540864706,0.28620426108189956,,,0.15048340763896703
libero_spatial:task0,development,gripper,16,1408,10,0.7915972352027894,0.1762004165561639,0.41823833584785464,0.3536029962320807,,,0.2023034669458866
libero_spatial:task0,development,gripper,20,1368,10,0.7759235799312592,0.18420630936016705,0.4493766363710165,0.36958248210463956,,,0.21883034314960242
libero_spatial:task0,development,gripper,32,1248,10,0.7139196127653122,0.21542677431544704,0.5735903292894363,0.43147472818592936,,,0.28018415719270706
libero_spatial:task4,held_out,arm,0,1625,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
