model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,87,304,58,246,0.19078947368421054,0.5,0.35608152728644743,0.23675704532161396,0.28699859739396205,False,,0.1225610730062125,-0.9317474913883381
constant_prior,train_only,88,292,54,238,0.18493150684931506,0.5,0.33162184389685984,0.23649681183568774,0.29285656422885753,False,,0.1205434448291377,-0.9619217965017195
constant_prior,train_only,89,286,54,232,0.1888111888111888,0.5,0.3357820808736167,0.2366691622756406,0.28897688226698376,False,,0.12220719411307646,-0.9366221767325271
constant_prior,train_only,90,282,52,230,0.18439716312056736,0.5,0.32479741088936037,0.23647307422584218,0.2933909079576053,False,,0.12037122186002354,-0.964531642794408
constant_prior,train_only,91,278,49,229,0.17625899280575538,0.5,0.3142859003034641,0.23611154530466957,0.30152907827241715,False,,0.11742630773557632,-1.0107210203385755
constant_prior,train_only,92,270,46,224,0.17037037037037037,0.5,0.31099924191730305,0.235849949978705,0.3074177007078024,False,,0.11295729166666665,-1.0879568419070336
constant_prior,train_only,93,264,43,221,0.16287878787878787,0.5,0.28444787844637476,0.2355171449830749,0.3149092831993848,False,,0.11014321368234119,-1.1382810352920947
constant_prior,train_only,94,260,42,218,0.16153846153846155,0.5,0.2799489596977953,0.23545760251626816,0.31624960953971115,False,,0.10962181083452127,-1.1479083471053158
constant_prior,train_only,95,252,41,211,0.1626984126984127,0.5,0.2860376263222863,0.23550913202170343,0.31508965837975994,False,,0.11019894276177536,-1.137126964374057
constant_prior,train_only,96,252,41,211,0.1626984126984127,0.5,0.2860376263222863,0.23550913202170343,0.31508965837975994,False,,0.11022993105465785,-1.1365261664268438
constant_prior,train_only,97,252,41,211,0.1626984126984127,0.5,0.2860376263222863,0.23550913202170343,0.31508965837975994,False,,0.11027565323004204,-1.1356403260692218
constant_prior,train_only,98,250,40,210,0.16,0.5,0.28378009270457116,0.2353892581195856,0.31778807107817264,False,,0.10927045196313599,-1.1541894802356785
constant_prior,train_only,99,246,40,206,0.16260162601626016,0.5,0.2876154673474141,0.23550483238389433,0.3151864450619126,False,,0.11047613094270885,-1.1317259246345563
empirical_group_offset_prior_train_only,train_only,1,674,651,23,0.9658753709198813,0.7588325652841782,0.9880152004818357,0.03179571857208507,0.00018723204552251183,False,,0.03179571857208507,0.0
