age_steps,age_seconds,empirical_unweighted_candidate_count,empirical_unweighted_candidate_fraction,empirical_normalized_weight_mass_fraction,theoretical_steady_state_unweighted_fraction,theoretical_steady_state_normalized_weight
82,4.1000000000000005,69282,0.008264302120230911,0.008816111292794445,0.01,0.01328006986621112
83,4.15,68872,0.008215395277626849,0.008835749909209099,0.01,0.013413536787255965
84,4.2,68464,0.00816672700498671,0.008856446272674475,0.01,0.013548345073157522
85,4.25,68067,0.00811937086714814,0.008879683937281247,0.01,0.01368450820485672
86,4.3,67678,0.008072969009165262,0.008904955645247277,0.01,0.013822039798780198
87,4.3500000000000005,67295,0.00802728286107415,0.008931924440253725,0.01,0.01396095360820196
88,4.4,66917,0.007982193137892843,0.008960420145366542,0.01,0.014101263524618709
89,4.45,66543,0.007937580554639381,0.008990275156793345,0.01,0.014242983579139012
90,4.5,66173,0.007893445111313763,0.00902148412042953,0.01,0.014386127943886422
91,4.55,65807,0.00784978680791599,0.009054042275572681,0.01,0.014530710933416699
92,4.6000000000000005,65447,0.007806844214409984,0.009088260855290362,0.01,0.014676747006149283
93,4.65,65101,0.007765571610651433,0.009125388685421286,0.01,0.014824250765813148
94,4.7,64757,0.007724537576856805,0.009163550246384074,0.01,0.014973236962907178
95,4.75,64417,0.007683980682990021,0.009203053465351071,0.01,0.015123720496175237
96,4.800000000000001,64086,0.007644497353960888,0.009244665109698335,0.01,0.01527571641409605
97,4.8500000000000005,63757,0.007605252594895676,0.00928731270235634,0.01,0.015429239916388086
98,4.9,63433,0.007566604260740271,0.009331451663415537,0.01,0.0155843063555295
99,4.95,63112,0.007528313781530748,0.009376779449255827,0.01,0.015740931238293433
