task_id,confirmatory_scope,method,episodes,successes,success_rate,mean_steps,mean_policy_queries,h1_gripper_task_difference,h1_arm_task_difference,h2_age_task_difference,h2_cog_task_difference
5,primary_tasks1_to_9,D_AGE_EXP_B003,14,8,0.5714285714285714,191.0,191.0,0.2857142857142857,0.0,-0.07142857142857142,-0.07142857142857142
5,primary_tasks1_to_9,E_COGACT_A03,14,8,0.5714285714285714,192.28571428571428,192.28571428571428,0.2857142857142857,0.0,-0.07142857142857142,-0.07142857142857142
6,primary_tasks1_to_9,A_NEWEST,14,5,0.35714285714285715,242.0,242.0,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-0.07142857142857142
6,primary_tasks1_to_9,B_FULL_OLD20,14,4,0.2857142857142857,239.85714285714286,239.85714285714286,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-0.07142857142857142
6,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,6,0.42857142857142855,227.92857142857142,227.92857142857142,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-0.07142857142857142
6,primary_tasks1_to_9,D_AGE_EXP_B003,14,7,0.5,211.64285714285714,211.64285714285714,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-0.07142857142857142
6,primary_tasks1_to_9,E_COGACT_A03,14,7,0.5,211.42857142857142,211.42857142857142,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-0.07142857142857142
7,primary_tasks1_to_9,A_NEWEST,14,6,0.42857142857142855,216.14285714285714,216.14285714285714,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427
7,primary_tasks1_to_9,B_FULL_OLD20,14,2,0.14285714285714285,257.35714285714283,257.35714285714283,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427
7,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,8,0.5714285714285714,188.78571428571428,188.78571428571428,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427
7,primary_tasks1_to_9,D_AGE_EXP_B003,14,5,0.35714285714285715,223.5,223.5,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427
7,primary_tasks1_to_9,E_COGACT_A03,14,5,0.35714285714285715,223.07142857142858,223.07142857142858,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.21428571428571427
8,primary_tasks1_to_9,A_NEWEST,14,7,0.5,219.21428571428572,219.21428571428572,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5
8,primary_tasks1_to_9,B_FULL_OLD20,14,4,0.2857142857142857,253.21428571428572,253.21428571428572,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5
8,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,8,0.5714285714285714,205.85714285714286,205.85714285714286,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5
8,primary_tasks1_to_9,D_AGE_EXP_B003,14,3,0.21428571428571427,251.57142857142858,251.57142857142858,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5
8,primary_tasks1_to_9,E_COGACT_A03,14,1,0.07142857142857142,270.14285714285717,270.14285714285717,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5
9,primary_tasks1_to_9,A_NEWEST,14,13,0.9285714285714286,130.57142857142858,130.57142857142858,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.21428571428571427
9,primary_tasks1_to_9,B_FULL_OLD20,14,8,0.5714285714285714,193.07142857142858,193.07142857142858,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.21428571428571427
9,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,14,1.0,119.57142857142857,119.57142857142857,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.21428571428571427
9,primary_tasks1_to_9,D_AGE_EXP_B003,14,12,0.8571428571428571,142.64285714285714,142.64285714285714,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.21428571428571427
9,primary_tasks1_to_9,E_COGACT_A03,14,11,0.7857142857142857,154.21428571428572,154.21428571428572,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.21428571428571427
