task,episode,timestep,state_id,phase,object_goal_distance,eef_object_distance,action_magnitude,action_velocity,action_acceleration,gripper_transition,p_fail_0,p_fail_1,p_fail_2,fragility_score,first_nonzero_scale_m,robustness_margin_50pct_m
PickCube-v1,4,0,79982e0900eca610f89f61fd102d532c629e503a56a7a36ba3137fd4ff5e1013,0.0,0.30563271045684814,0.14950326085090637,3.357517957687378,3.357517957687378,3.357517957687378,1.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,5,9073a202450d0e06322ad3b90c86751cc2704d5b23da0ca355d24dc9ae13bb7e,0.13513513513513514,0.3056327998638153,0.07185542583465576,3.357517957687378,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,10,1bcc542a7b7d33ca059cd536d1c8bec370852ebc53b912f62d0c75e943409735,0.2702702702702703,0.3056327998638153,0.03160804882645607,3.3563709259033203,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,15,c1b549a58ff43253f689b8c2d5dcc87f4c74e8dc4ef8f241a089a162aea728ec,0.40540540540540543,0.3056327998638153,0.001660084817558527,3.3563709259033203,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,20,a5bd9a50980bba0ae6c8854b326a67c377959f15990069f233f88c35d568bb16,0.5405405405405406,0.3056534230709076,0.0008010577294044197,3.3563709259033203,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,25,f4e2fc37e6b9e96945e043d7d78f141762222ba04a19ebe5dd84c1e7f89c25b1,0.6756756756756757,0.2756442129611969,0.0007876215968281031,3.362265110015869,0.0,0.18000003695487976,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,30,55dce4ea02d871d8b2f06829d35b2f566828bcef6c25399504ac04cf159adbc2,0.8108108108108109,0.1684715747833252,0.0008065411238931119,3.362265110015869,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,4,35,008fa96ac5184ab70ca43de3656f92d7429390766362a6214845daf3b6ac62d1,0.9459459459459459,0.03549310192465782,0.0008128214976750314,3.352771282196045,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,5,0,4650c63ad33fc2ac9735a3b1b9c8efffd78628556ae46831123c9bacf29c82a2,0.0,0.2635056972503662,0.20040163397789001,3.405750274658203,3.405750274658203,3.405750274658203,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,5,5,418bfff976c69297661d2c689fec0c97295cf4bf869bae58a4e3beb0aec8aaad,0.13157894736842105,0.26350563764572144,0.07234125584363937,3.405750274658203,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,5,10,9b842959f202c7e8353e79343aff14d8081864eb54bd5198b466b2b3dbca272d,0.2631578947368421,0.2635056674480438,0.032960306853055954,3.4046196937561035,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,5,15,cb69128b954f415584ce3842acf8a6d6f660331101eccbd3a6c5154a359b718d,0.39473684210526316,0.26350581645965576,0.002119571901857853,3.4046196937561035,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,5,20,cff0cce83aa77cff2263924498812afb9f5502c0b1dd00fed0eec8b09a572f5f,0.5263157894736842,0.2634606957435608,0.0010428555542603135,3.4046196937561035,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,5,25,f749db948d6762b2cabd1aca12ef67829f7f66918a0e949b784497a3bc53a60b,0.6578947368421053,0.23293536901474,0.0010243307333439589,3.410430431365967,0.0,0.18000003695487976,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,5,30,56bfa49260fa3a342669c1f90fc1ec8e4676336567355eeab9b4d86ca556e796,0.7894736842105263,0.15399248898029327,0.0010415399447083473,3.410430431365967,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,5,35,26471be28b66d7cdc8d489ffeeff3bf3f175f97dec6925ce4b63c5bfdce20b8c,0.9210526315789473,0.03662075102329254,0.0010398559970781207,3.3873560428619385,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
PickCube-v1,6,0,e43d7573220b9a762456ed8d4d02e0286f25460bdf199d766874dd12fa5ffa3d,0.0,0.22702892124652863,0.1375885307788849,3.3590638637542725,3.3590638637542725,3.3590638637542725,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,5,906b6c2887302397d8b268671060efe926b7baa822247482a59ac9a11aa63ae2,0.14285714285714285,0.22702914476394653,0.07162829488515854,3.3590638637542725,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,10,1333769e2730b81f5cbadf70d89da0e3baf33e35c46a6c8337703a4fad941641,0.2857142857142857,0.22702918946743011,0.03168291598558426,3.357917547225952,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,15,bbcf817814baca2f405e5a183b19e7cf62f40f209c989a816389984b266a06b7,0.42857142857142855,0.22702918946743011,0.001672790851444006,3.357917547225952,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,20,4cd6f2d05203a9575a8149b05e1e589d26c3bdd4f69aa12ef03b42cd7b0feaf4,0.5714285714285714,0.22675922513008118,0.0007066160906106234,3.357917547225952,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,25,9b8b948ba6394df32dcae899a2c4338852314e2fb27a08af8e4119efc7a1dee7,0.7142857142857143,0.19824564456939697,0.0006903133471496403,3.3638088703155518,0.0,0.18000003695487976,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,30,ac4c08666ddc749705f1e6e9dd685639d06f4901076672c9417297d2da5a8818,0.8571428571428571,0.05864189565181732,0.0007107678102329373,3.3638088703155518,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,6,35,01e6d04842ef72ae695f6ecadfc3eb86840c5ccc550b4d7e9d382af9714a81f8,1.0,0.01233435608446598,0.0007157478830777109,3.362391233444214,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
