model,seed,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,arm,70,188,68,120,0.3617021276595745,0.5,0.31862712679069743,0.24434964476549728,0.11608594341859824,False,,0.2308977106460057,-0.05825927888958171
constant_prior,train_only,arm,71,188,68,120,0.3617021276595745,0.5,0.31862712679069743,0.24434964476549728,0.11608594341859824,False,,0.23097949231386855,-0.05788458671240204
constant_prior,train_only,arm,72,187,68,119,0.36363636363636365,0.5,0.319870762821652,0.24443557098956625,0.11415170744180902,False,,0.23167965539804136,-0.055058419219457866
constant_prior,train_only,arm,73,186,67,119,0.3602150537634409,0.5,0.3184390927469796,0.24428358320613242,0.1175730173147318,False,,0.23076634165305482,-0.05857544673217574
constant_prior,train_only,arm,74,184,66,118,0.358695652173913,0.5,0.31454096392378594,0.24421608552591184,0.11909241890425966,False,,0.23040087800283238,-0.05996160970753617
constant_prior,train_only,arm,75,181,66,115,0.36464088397790057,0.5,0.31831283153249307,0.24448019565841975,0.11314718710027216,False,,0.2324473685299053,-0.05176581350270859
constant_prior,train_only,arm,76,177,65,112,0.3672316384180791,0.5,0.3217036678598988,0.24459528696537805,0.11055643266009363,False,,0.23336877557517713,-0.048106313119787636
constant_prior,train_only,arm,77,175,64,111,0.3657142857142857,0.5,0.32471798774851046,0.24452788030456604,0.1120737853638869,False,,0.23315957935411383,-0.048757597615950665
constant_prior,train_only,arm,78,172,63,109,0.36627906976744184,0.5,0.32691107279974907,0.24455297019105582,0.11150900131073084,False,,0.2337615027817385,-0.04616443375363333
constant_prior,train_only,arm,79,170,63,107,0.37058823529411766,0.5,0.3370489047494687,0.24474439994783767,0.10719983578405501,False,,0.23525343206531646,-0.040343589460944074
constant_prior,train_only,arm,80,167,62,105,0.3712574850299401,0.5,0.33871377379991147,0.24477413060296377,0.1065305860482325,False,,0.23557750594495752,-0.03903863665215579
constant_prior,train_only,arm,81,166,61,105,0.3674698795180723,0.5,0.33651906262689746,0.24460587055413674,0.11031819156010038,False,,0.23451793698774479,-0.04301561618682981
constant_prior,train_only,arm,82,164,60,104,0.36585365853658536,0.5,0.33721760992913025,0.24453407178301118,0.11193441254158731,False,,0.234214988652722,-0.04405816719778599
constant_prior,train_only,arm,83,161,59,102,0.36645962732919257,0.5,0.3389765358025164,0.24456099125451164,0.1113284437489801,False,,0.23471200905917994,-0.041961986669580176
constant_prior,train_only,arm,84,160,59,101,0.36875,0.5,0.34091221957525725,0.24466273844444855,0.10903807107817265,False,,0.23574425320338244,-0.03783118833175503
constant_prior,train_only,arm,85,158,59,99,0.37341772151898733,0.5,0.3488994628219627,0.24487009664166184,0.10437034955918535,False,,0.23768789556962025,-0.03021694081151849
constant_prior,train_only,arm,86,154,58,96,0.37662337662337664,0.5,0.36070439789130176,0.24501250420831502,0.10116469445479598,False,,0.23901611634451145,-0.025087797239415233
constant_prior,train_only,arm,87,152,57,95,0.375,0.5,0.3589139949145742,0.2449403875559714,0.10278807107817262,False,,0.23858231808496275,-0.026649374195217845
constant_prior,train_only,arm,88,146,53,93,0.363013698630137,0.5,0.3343163845588536,0.2444079098078454,0.11477437244803562,False,,0.23427553988856942,-0.04324979860934408
constant_prior,train_only,arm,89,143,53,90,0.3706293706293706,0.5,0.3384787778173238,0.2447462273381233,0.10715870044880194,False,,0.23745541655576263,-0.030703914394172305
constant_prior,train_only,arm,90,141,51,90,0.3617021276595745,0.5,0.32747175625775077,0.2443496447654973,0.11608594341859818,False,,0.23367858184251059,-0.04566555838728337
constant_prior,train_only,arm,91,139,48,91,0.34532374100719426,0.5,0.31708045950096275,0.24362205364514353,0.1324643300709783,False,,0.22768772473617443,-0.06998325855042231
constant_prior,train_only,arm,92,135,46,89,0.34074074074074073,0.5,0.31099924191730305,0.24341845909280918,0.13704733033743177,False,,0.22591388888888897,-0.07748337337740874
constant_prior,train_only,arm,93,132,43,89,0.32575757575757575,0.5,0.28444787844637476,0.24275284910154904,0.15203049532059681,False,,0.22028571160860058,-0.10199089777038117
constant_prior,train_only,arm,94,130,42,88,0.3230769230769231,0.5,0.2799489596977953,0.2426337641679355,0.15471114800124947,False,,0.21924286683869443,-0.10668943380698748
constant_prior,train_only,arm,95,126,41,85,0.3253968253968254,0.5,0.2860376263222863,0.24273682317880602,0.15239124568134738,False,,0.22039710651866717,-0.10136120665561776
constant_prior,train_only,arm,96,126,41,85,0.3253968253968254,0.5,0.2860376263222863,0.24273682317880602,0.15239124568134738,False,,0.22045904015254894,-0.10105180087349441
constant_prior,train_only,arm,97,126,41,85,0.3253968253968254,0.5,0.2860376263222863,0.24273682317880602,0.15239124568134738,False,,0.2205504616828349,-0.10059539810837692
constant_prior,train_only,arm,98,125,40,85,0.32,0.5,0.28378009270457116,0.2424970753745704,0.15778807107817278,False,,0.218540903926272,-0.10961870760990511
constant_prior,train_only,arm,99,123,40,83,0.3252032520325203,0.5,0.2876154673474141,0.24272822390318777,0.15258481904565246,False,,0.22095226188541764,-0.09855505362087125
constant_prior,train_only,gripper,1,337,314,23,0.9317507418397626,0.5,0.9185252057872767,0.2696734033658104,0.4539626707615899,False,,0.06359143714417013,-3.2407188054961775
constant_prior,train_only,gripper,2,335,296,39,0.8835820895522388,0.5,0.8821688956569502,0.267533566004069,0.40579401847406615,False,,0.10286703637014291,-1.6007706204484418
constant_prior,train_only,gripper,3,332,280,52,0.8433734939759037,0.5,0.8133413397526028,0.2657473450700929,0.365585422897731,False,,0.13213446701087386,-1.0111886859030013
constant_prior,train_only,gripper,4,330,272,58,0.8242424242424242,0.5,0.8009347144929103,0.2648974691478557,0.3464543531642515,False,,0.14490395122572794,-0.8280900341717026
constant_prior,train_only,gripper,5,330,265,65,0.803030303030303,0.5,0.7891627663810503,0.2639551448905661,0.32524223195213026,False,,0.15840004540146527,-0.6663830128430279
constant_prior,train_only,gripper,6,329,256,73,0.7781155015197568,0.5,0.7535061817403874,0.26284833329005874,0.30032743044158416,False,,0.17297166030970518,-0.5196034588523326
constant_prior,train_only,gripper,7,328,251,77,0.7652439024390244,0.5,0.7403574064723394,0.26227652720227573,0.28745583136085173,False,,0.18042107651701325,-0.4536911776908932
constant_prior,train_only,gripper,8,325,246,79,0.7569230769230769,0.5,0.7368716633751122,0.26190688403241347,0.27913500584490425,False,,0.1857628908801514,-0.4098988381990021
constant_prior,train_only,gripper,9,325,239,86,0.7353846153846154,0.5,0.7170297093435982,0.2609500624788578,0.25759654430644274,False,,0.1965488895963183,-0.32765981540170386
constant_prior,train_only,gripper,10,324,232,92,0.7160493827160493,0.5,0.7036592676447194,0.26009111685141545,0.23826131163787667,False,,0.20466237500562065,-0.2708301506042454
constant_prior,train_only,gripper,11,322,228,94,0.7080745341614907,0.5,0.6873266416066898,0.25973684331290303,0.23028646308331804,False,,0.20845816814296314,-0.24599024171973127
constant_prior,train_only,gripper,12,321,225,96,0.7009345794392523,0.5,0.6678009714488343,0.2594196589793122,0.22314650836107963,False,,0.21237493640592467,-0.22151730034408668
constant_prior,train_only,gripper,13,318,212,106,0.6666666666666666,0.5,0.6277933882090876,0.2578973460937041,0.188878595588494,False,,0.2233607429740432,-0.15462252972392032
constant_prior,train_only,gripper,14,315,205,110,0.6507936507936508,0.5,0.6137460918561384,0.25719220549301114,0.1730055797154782,False,,0.22807983857763173,-0.1276411238140649
constant_prior,train_only,gripper,15,314,193,121,0.6146496815286624,0.5,0.5779911750754247,0.25558655094047783,0.13686161045048972,False,,0.23700370996502057,-0.07840738433250638
constant_prior,train_only,gripper,16,312,184,128,0.5897435897435898,0.5,0.561552032651087,0.2544801262595768,0.11195551866541716,False,,0.24215488744748753,-0.0508981625025513
constant_prior,train_only,gripper,17,311,176,135,0.5659163987138264,0.5,0.5311580552479788,0.253421630512457,0.08812832763565376,False,,0.2458035169425484,-0.03099269556704165
constant_prior,train_only,gripper,18,309,160,149,0.517799352750809,0.5,0.4936436282412677,0.2512840857027393,0.040011281672636345,False,,0.24975347938457917,-0.006128468447893942
constant_prior,train_only,gripper,19,309,153,156,0.49514563106796117,0.5,0.47229212427210915,0.25027771999107074,0.017357559989788496,False,,0.2500673964534471,-0.000841067410652041
constant_prior,train_only,gripper,20,306,146,160,0.477124183006536,0.5,0.45947888772079054,0.24947713774425317,0.0006638880716366979,False,,0.24948029994457863,1.267515040725975e-05
constant_prior,train_only,gripper,21,306,145,161,0.4738562091503268,0.5,0.459005915597803,0.24933196173822814,0.003931861927845892,False,,0.24956314376995264,0.0009263468484658199
constant_prior,train_only,gripper,22,306,138,168,0.45098039215686275,0.5,0.4388617446930765,0.24831572969605303,0.026807678921309915,False,,0.24774822689478582,-0.0022906432404388166
constant_prior,train_only,gripper,23,305,126,179,0.4131147540983607,0.5,0.3964072223859375,0.24663359197378282,0.06467331697981199,False,,0.2425088686855028,-0.01700854616426062
constant_prior,train_only,gripper,24,303,117,186,0.38613861386138615,0.5,0.364839248562605,0.245435207754725,0.09164945721678647,False,,0.2370976651430015,-0.035165013568121184
constant_prior,train_only,gripper,25,300,114,186,0.38,0.5,0.36258403607271533,0.2451625068451897,0.09778807107817261,False,,0.23566731470532218,-0.04029066207904264
constant_prior,train_only,gripper,26,296,107,189,0.3614864864864865,0.5,0.34338620043024987,0.24434006515267878,0.11630158459168612,False,,0.23083555418203433,-0.05850273376862458
constant_prior,train_only,gripper,27,294,104,190,0.35374149659863946,0.5,0.33889191536885654,0.24399600282290054,0.12404657447953309,False,,0.22860850979080902,-0.06730936239500451
constant_prior,train_only,gripper,28,291,97,194,0.3333333333333333,0.5,0.31110725366868736,0.24308939347915245,0.1444547377448393,False,,0.2222491229459893,-0.0937698662515205
constant_prior,train_only,gripper,29,289,92,197,0.31833910034602075,0.5,0.307007036886702,0.24242329180444944,0.15944897073215186,False,,0.21703613741666608,-0.11697201530565882
constant_prior,train_only,gripper,30,289,88,201,0.3044982698961938,0.5,0.2928392510691155,0.2418084287201082,0.17328980118197884,False,,0.2118106692432871,-0.14162534674948546
constant_prior,train_only,gripper,31,288,81,207,0.28125,0.5,0.2602931336066729,0.24077565088312877,0.19653807107817262,False,,0.20226550194733045,-0.19039405417650657
