family,contrast,first,second,group,metric,paired_block_count,task_count,mean_paired_difference,median_paired_difference,task_cluster_ci_low,task_cluster_ci_high
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,gripper,gripper_state_switch_probability,140,10,-0.015890413303033774,-0.00200172548538301,-0.02703728107726581,-0.006131039356530126
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,translation,d1_mean,140,10,-0.01427060849398549,-0.011934187178613248,-0.01886949782408813,-0.009921207420757467
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,translation,d1_median,140,10,-0.014100822624984658,-0.00964800701597796,-0.01914230424113071,-0.009531711927533028
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,translation,d2_mean,140,10,-0.007124967228274889,-0.005438333021617737,-0.010785409444815408,-0.0033298750305836722
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,translation,d2_median,140,10,-0.0016620835584342038,-0.0014334695700850431,-0.0030402512292789794,-8.530362589906044e-05
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,rotation,d1_mean,140,10,-0.0017250262217163332,-0.0018144195488454477,-0.0021651872787042457,-0.0012851471068454443
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,rotation,d1_median,140,10,-0.0015964969732351654,-0.0012428617902892794,-0.00207222729429871,-0.0011488822669547371
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,rotation,d2_mean,140,10,-0.0009647874301731799,-0.0008728537264079686,-0.0013472491703558046,-0.0005671036448868114
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,rotation,d2_median,140,10,-9.992621406020355e-05,-0.00010295950344326181,-0.00036159041777539144,0.00021876247106997513
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,gripper,d1_mean,140,10,-0.039834862177646126,-0.018727653384709206,-0.06395998983033917,-0.018248795020537837
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,gripper,d1_median,140,10,-0.0009016959262745721,-0.0008068382740020752,-0.002433571433648467,0.0005855479543762538
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,gripper,d2_mean,140,10,-0.059749490359328,-0.026503463243275578,-0.09502451604249834,-0.029054411156198674
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,gripper,d2_median,140,10,-0.0006576810298221452,-0.0005880296230316162,-0.0030100319268448012,0.001542424703282968
confirmation,A20G0-coherent_H16,REVERSE20,HARD_H16,gripper,gripper_state_switch_probability,140,10,-0.019412037793748713,-0.009633911368015413,-0.03160121920833041,-0.00840602102886089
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,translation,d1_mean,450,30,0.00123094139440039,0.0,0.00038933711173136994,0.002278922831630719
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,translation,d1_median,450,30,0.0006239982488410898,0.0,0.0002092804456291286,0.001058404919907274
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,translation,d2_mean,450,30,0.0011418894833013019,0.0,-0.00029571975620069587,0.0028088265652890885
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,translation,d2_median,450,30,0.0002971576056091292,0.0,-0.0002810221900626487,0.0009751565001715318
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,rotation,d1_mean,450,30,9.678844703452865e-05,0.0,-9.267233669798603e-06,0.00021371410586542325
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,rotation,d1_median,450,30,3.408537312238004e-05,0.0,-3.8283824531628486e-05,0.000103387931024473
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,rotation,d2_mean,450,30,2.9624428303041274e-05,0.0,-0.00015437851892022707,0.00023085552497001445
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,rotation,d2_median,450,30,7.796172177993737e-07,0.0,-8.080315592402519e-05,8.643011998500315e-05
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,gripper,d1_mean,450,30,-0.013040228780298379,-0.0011765035770941491,-0.01868289891722942,-0.007893878116470352
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,gripper,d1_median,450,30,-0.004660524055361747,-0.0007012784481048584,-0.0073708160190532595,-0.0024914327160351813
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,gripper,d2_mean,450,30,-0.027622432647892933,-0.003938806579963629,-0.03752952723697752,-0.018348484209875282
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,gripper,d2_median,450,30,-0.00945237446576357,-0.0017789900302886963,-0.013805260288632578,-0.005529711855885886
track_a,ARM4_GRIP32-H4,ARM4_GRIP32,H4,gripper,gripper_state_switch_probability,450,30,-0.005381586773266967,0.0,-0.008237098745835583,-0.0028717023036463184
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,translation,d1_mean,450,30,0.001169633806788718,0.0,0.0002086608630946689,0.0023134533498547273
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,translation,d1_median,450,30,0.0006697999178027365,0.0,-0.00012761283534964027,0.0014629132888030287
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,translation,d2_mean,450,30,-0.00022247195397862967,0.0,-0.001513824917501925,0.0011190864368613334
