family,contrast,group,metric,task,mean_paired_difference
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_10:task0,-0.014737065062211055
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_10:task2,-0.00784773640541391
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_10:task4,-0.019100745811873147
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_10:task6,-0.012246600783475666
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_10:task7,-0.018534173527916965
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_goal:task4,-0.015084159295017314
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_goal:task6,-0.03014030363116366
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_goal:task7,-0.001472514429887871
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_goal:task8,-0.014035073691346264
confirmation,A20G0-coherent_H16,translation,d1_mean,libero_goal:task9,-0.009507712301549048
confirmation,A20G0-coherent_H16,translation,d1_median,libero_10:task0,-0.01347966229194772
confirmation,A20G0-coherent_H16,translation,d1_median,libero_10:task2,-0.008620523726231807
confirmation,A20G0-coherent_H16,translation,d1_median,libero_10:task4,-0.01884089865955329
confirmation,A20G0-coherent_H16,translation,d1_median,libero_10:task6,-0.01087213091059151
confirmation,A20G0-coherent_H16,translation,d1_median,libero_10:task7,-0.015792346652383372
confirmation,A20G0-coherent_H16,translation,d1_median,libero_goal:task4,-0.014484947668058896
confirmation,A20G0-coherent_H16,translation,d1_median,libero_goal:task6,-0.031677483098657276
confirmation,A20G0-coherent_H16,translation,d1_median,libero_goal:task7,-0.00045668481366640645
confirmation,A20G0-coherent_H16,translation,d1_median,libero_goal:task8,-0.01698814223718612
confirmation,A20G0-coherent_H16,translation,d1_median,libero_goal:task9,-0.009795406191570192
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_10:task0,-0.010644847840194172
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_10:task2,0.00158595191642342
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_10:task4,-0.009211563105609218
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_10:task6,-0.00727223027914286
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_10:task7,-0.01294942177701917
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_goal:task4,-0.01119357742644352
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_goal:task6,-0.016478603959919718
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_goal:task7,0.0018366833939325092
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_goal:task8,-0.00016543111223662536
confirmation,A20G0-coherent_H16,translation,d2_mean,libero_goal:task9,-0.00675663209253953
confirmation,A20G0-coherent_H16,translation,d2_median,libero_10:task0,-0.0024655352704804805
confirmation,A20G0-coherent_H16,translation,d2_median,libero_10:task2,0.0036171357556101327
confirmation,A20G0-coherent_H16,translation,d2_median,libero_10:task4,-0.003524097627877239
confirmation,A20G0-coherent_H16,translation,d2_median,libero_10:task6,-0.0006859541444812237
confirmation,A20G0-coherent_H16,translation,d2_median,libero_10:task7,-0.003248969047707163
confirmation,A20G0-coherent_H16,translation,d2_median,libero_goal:task4,-0.0030069162893132106
confirmation,A20G0-coherent_H16,translation,d2_median,libero_goal:task6,-0.004975443472296062
confirmation,A20G0-coherent_H16,translation,d2_median,libero_goal:task7,-0.0010578320113223548
confirmation,A20G0-coherent_H16,translation,d2_median,libero_goal:task8,0.0013261268003680591
confirmation,A20G0-coherent_H16,translation,d2_median,libero_goal:task9,-0.002599350276842496
confirmation,A20G0-coherent_H16,rotation,d1_mean,libero_10:task0,-0.001463584053414409
confirmation,A20G0-coherent_H16,rotation,d1_mean,libero_10:task2,-0.0016837799620021958
confirmation,A20G0-coherent_H16,rotation,d1_mean,libero_10:task4,-0.002010388766282006
confirmation,A20G0-coherent_H16,rotation,d1_mean,libero_10:task6,-0.001422613363319154
