cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_0,0.09558323325289506
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_1,0.043889126819521465
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_2,0.07427552672662134
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_3,0.09344960511452803
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_4,0.1052692049223617
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_5,0.05832047029584062
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,dim_6,0.028229633078988643
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,translation,0.08408382612264473
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,rotation,0.09349164956324903
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,gripper,0.028229633078988643
act-libero_spatial-task00-state10,ACT,libero_spatial,0,10,60,arm_original,0.0901341908611655
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_0,0.17696355048527784
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_1,0.10025884658695675
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_2,0.3500364275033578
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_3,0.26105499700666
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_4,0.564318210934834
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_5,0.3708736912347818
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,dim_6,0.17523919349774295
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,translation,0.24197296024744194
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,rotation,0.4310765625706329
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,gripper,0.17523919349774295
act-libero_spatial-task00-state11,ACT,libero_spatial,0,11,265,arm_original,0.35546445275552724
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_0,0.08890053368443702
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_1,0.04683095118577007
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_2,0.06592643821497182
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_3,0.10845735729883779
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_4,0.084439164816154
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_5,0.04341440198253721
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,dim_6,0.023779742097865854
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,translation,0.07899714882415532
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,rotation,0.0864172899274976
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,gripper,0.023779742097865854
act-libero_spatial-task00-state12,ACT,libero_spatial,0,12,57,arm_original,0.08472774155959223
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_0,0.10029304516662663
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_1,0.036193117809166994
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_2,0.08181476005293614
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_3,0.07718029605214992
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_4,0.09348899273553665
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_5,0.065309851901355
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,dim_6,0.032621454175453514
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,translation,0.08714925807887135
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,rotation,0.08486239716458267
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,gripper,0.032621454175453514
act-libero_spatial-task00-state13,ACT,libero_spatial,0,13,63,arm_original,0.0877522855983386
