cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value,units
act-libero_10-task03-state15,ACT,libero_10,3,15,505,gripper,0.03560330636263486,controller_native_action
act-libero_10-task03-state15,ACT,libero_10,3,15,505,arm_original,0.06556905353584341,controller_native_action
act-libero_10-task03-state16,ACT,libero_10,3,16,505,translation,0.04766959067589744,controller_native_action
act-libero_10-task03-state16,ACT,libero_10,3,16,505,rotation,0.008382389848279596,controller_native_action
act-libero_10-task03-state16,ACT,libero_10,3,16,505,gripper,0.2691390515313157,controller_native_action
act-libero_10-task03-state16,ACT,libero_10,3,16,505,arm_original,0.0344092965328014,controller_native_action
act-libero_10-task03-state17,ACT,libero_10,3,17,196,translation,0.02373128950110404,controller_native_action
act-libero_10-task03-state17,ACT,libero_10,3,17,196,rotation,0.006846109224032814,controller_native_action
act-libero_10-task03-state17,ACT,libero_10,3,17,196,gripper,0.03459569229227073,controller_native_action
act-libero_10-task03-state17,ACT,libero_10,3,17,196,arm_original,0.017634498915085832,controller_native_action
act-libero_10-task03-state18,ACT,libero_10,3,18,199,translation,0.025047572241616575,controller_native_action
act-libero_10-task03-state18,ACT,libero_10,3,18,199,rotation,0.005672775802790731,controller_native_action
act-libero_10-task03-state18,ACT,libero_10,3,18,199,gripper,0.032882682446297294,controller_native_action
act-libero_10-task03-state18,ACT,libero_10,3,18,199,arm_original,0.018259257988280663,controller_native_action
act-libero_10-task03-state19,ACT,libero_10,3,19,201,translation,0.023878820803414344,controller_native_action
act-libero_10-task03-state19,ACT,libero_10,3,19,201,rotation,0.006101096591803549,controller_native_action
act-libero_10-task03-state19,ACT,libero_10,3,19,201,gripper,0.03233403970554811,controller_native_action
act-libero_10-task03-state19,ACT,libero_10,3,19,201,arm_original,0.017576403320935165,controller_native_action
smolvla-libero_object-task03-state10,SmolVLA,libero_object,3,10,120,translation,0.09877161048792174,controller_native_action
smolvla-libero_object-task03-state10,SmolVLA,libero_object,3,10,120,rotation,0.01925406201330589,controller_native_action
smolvla-libero_object-task03-state10,SmolVLA,libero_object,3,10,120,gripper,0.18499687387933025,controller_native_action
smolvla-libero_object-task03-state10,SmolVLA,libero_object,3,10,120,arm_original,0.07133005234737196,controller_native_action
smolvla-libero_object-task03-state11,SmolVLA,libero_object,3,11,110,translation,0.0878380167231142,controller_native_action
smolvla-libero_object-task03-state11,SmolVLA,libero_object,3,11,110,rotation,0.020188757884475658,controller_native_action
smolvla-libero_object-task03-state11,SmolVLA,libero_object,3,11,110,gripper,0.13142678464843355,controller_native_action
smolvla-libero_object-task03-state11,SmolVLA,libero_object,3,11,110,arm_original,0.06381206132867123,controller_native_action
smolvla-libero_object-task03-state12,SmolVLA,libero_object,3,12,109,translation,0.08466398936396709,controller_native_action
smolvla-libero_object-task03-state12,SmolVLA,libero_object,3,12,109,rotation,0.018769149163853627,controller_native_action
smolvla-libero_object-task03-state12,SmolVLA,libero_object,3,12,109,gripper,0.1264261726848203,controller_native_action
smolvla-libero_object-task03-state12,SmolVLA,libero_object,3,12,109,arm_original,0.061430886204212914,controller_native_action
smolvla-libero_object-task03-state13,SmolVLA,libero_object,3,13,190,translation,0.11122508038181476,controller_native_action
smolvla-libero_object-task03-state13,SmolVLA,libero_object,3,13,190,rotation,0.021706945126547517,controller_native_action
smolvla-libero_object-task03-state13,SmolVLA,libero_object,3,13,190,gripper,0.3535504359402266,controller_native_action
smolvla-libero_object-task03-state13,SmolVLA,libero_object,3,13,190,arm_original,0.08025486974375819,controller_native_action
smolvla-libero_object-task03-state14,SmolVLA,libero_object,3,14,111,translation,0.0919372164057562,controller_native_action
smolvla-libero_object-task03-state14,SmolVLA,libero_object,3,14,111,rotation,0.02015131604805357,controller_native_action
smolvla-libero_object-task03-state14,SmolVLA,libero_object,3,14,111,gripper,0.14285857238339514,controller_native_action
smolvla-libero_object-task03-state14,SmolVLA,libero_object,3,14,111,arm_original,0.06668979047394863,controller_native_action
smolvla-libero_object-task03-state15,SmolVLA,libero_object,3,15,97,translation,0.0947803854304696,controller_native_action
smolvla-libero_object-task03-state15,SmolVLA,libero_object,3,15,97,rotation,0.018189260471179525,controller_native_action
smolvla-libero_object-task03-state15,SmolVLA,libero_object,3,15,97,gripper,0.15343836108846656,controller_native_action
smolvla-libero_object-task03-state15,SmolVLA,libero_object,3,15,97,arm_original,0.06833347857885239,controller_native_action
smolvla-libero_object-task03-state16,SmolVLA,libero_object,3,16,105,translation,0.08406699077742669,controller_native_action
smolvla-libero_object-task03-state16,SmolVLA,libero_object,3,16,105,rotation,0.01890615716744247,controller_native_action
smolvla-libero_object-task03-state16,SmolVLA,libero_object,3,16,105,gripper,0.10371457846063165,controller_native_action
smolvla-libero_object-task03-state16,SmolVLA,libero_object,3,16,105,arm_original,0.06102274908461066,controller_native_action
smolvla-libero_object-task03-state17,SmolVLA,libero_object,3,17,113,translation,0.09582158988317506,controller_native_action
smolvla-libero_object-task03-state17,SmolVLA,libero_object,3,17,113,rotation,0.01856909542151787,controller_native_action
smolvla-libero_object-task03-state17,SmolVLA,libero_object,3,17,113,gripper,0.1527883747090022,controller_native_action
smolvla-libero_object-task03-state17,SmolVLA,libero_object,3,17,113,arm_original,0.06909397897935306,controller_native_action
smolvla-libero_object-task03-state18,SmolVLA,libero_object,3,18,137,translation,0.11630889560733879,controller_native_action
smolvla-libero_object-task03-state18,SmolVLA,libero_object,3,18,137,rotation,0.019489559530929502,controller_native_action
smolvla-libero_object-task03-state18,SmolVLA,libero_object,3,18,137,gripper,0.3292254218662754,controller_native_action
smolvla-libero_object-task03-state18,SmolVLA,libero_object,3,18,137,arm_original,0.08352158138887042,controller_native_action
smolvla-libero_object-task03-state19,SmolVLA,libero_object,3,19,111,translation,0.08743618432568051,controller_native_action
smolvla-libero_object-task03-state19,SmolVLA,libero_object,3,19,111,rotation,0.019555909540559687,controller_native_action
smolvla-libero_object-task03-state19,SmolVLA,libero_object,3,19,111,gripper,0.16624539706229166,controller_native_action
smolvla-libero_object-task03-state19,SmolVLA,libero_object,3,19,111,arm_original,0.06344254879717913,controller_native_action
smolvla-libero_spatial-task00-state10,SmolVLA,libero_spatial,0,10,60,translation,0.12733842346296645,controller_native_action
smolvla-libero_spatial-task00-state10,SmolVLA,libero_spatial,0,10,60,rotation,0.03029159187790166,controller_native_action
smolvla-libero_spatial-task00-state10,SmolVLA,libero_spatial,0,10,60,gripper,0.09977344133783926,controller_native_action
smolvla-libero_spatial-task00-state10,SmolVLA,libero_spatial,0,10,60,arm_original,0.09269237463394515,controller_native_action
smolvla-libero_spatial-task00-state11,SmolVLA,libero_spatial,0,11,210,translation,0.18970663842309093,controller_native_action
smolvla-libero_spatial-task00-state11,SmolVLA,libero_spatial,0,11,210,rotation,0.039680004212515566,controller_native_action
smolvla-libero_spatial-task00-state11,SmolVLA,libero_spatial,0,11,210,gripper,0.3717091900588691,controller_native_action
smolvla-libero_spatial-task00-state11,SmolVLA,libero_spatial,0,11,210,arm_original,0.13725612369344814,controller_native_action
smolvla-libero_spatial-task00-state12,SmolVLA,libero_spatial,0,12,62,translation,0.14375551224954716,controller_native_action
smolvla-libero_spatial-task00-state12,SmolVLA,libero_spatial,0,12,62,rotation,0.032356368251013325,controller_native_action
smolvla-libero_spatial-task00-state12,SmolVLA,libero_spatial,0,12,62,gripper,0.1631099618214763,controller_native_action
smolvla-libero_spatial-task00-state12,SmolVLA,libero_spatial,0,12,62,arm_original,0.10433945466734153,controller_native_action
smolvla-libero_spatial-task00-state13,SmolVLA,libero_spatial,0,13,265,translation,0.2905212513872134,controller_native_action
