cell_id,policy,suite,task_id,state_id,eligible_targets,source_age,metric,value,units
act-libero_object-task03-state11,ACT,libero_object,3,11,113,8,translation,0.08617977274996932,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,8,rotation,0.010576974212218052,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,8,gripper,0.4267962955517745,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,8,arm_original,0.061395543872182934,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,9,translation,0.08749942383470614,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,9,rotation,0.01082311694017718,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,9,gripper,0.41665437721679405,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,9,arm_original,0.062342958831396074,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,10,translation,0.08399774262634588,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,10,rotation,0.010465658223750474,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,10,gripper,0.45457881093313535,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,10,arm_original,0.059854618737313,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,11,translation,0.08435539399843746,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,11,rotation,0.010585772795482633,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,11,gripper,0.4796770336010064,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,11,arm_original,0.06011610051520807,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,12,translation,0.08544198605430973,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,12,rotation,0.010822510133586616,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,12,gripper,0.49647116179363016,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,12,arm_original,0.06089934197713651,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,13,translation,0.0884459037552242,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,13,rotation,0.01107195962877191,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,13,gripper,0.5158150845329608,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,13,arm_original,0.06302882745656758,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,14,translation,0.09288518454313222,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,14,rotation,0.011377242069064656,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,14,gripper,0.5349394237529821,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,14,arm_original,0.06617060958125527,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,15,translation,0.10102123292289591,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,15,rotation,0.011770215107968133,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,15,gripper,0.5361850001560609,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,15,arm_original,0.07191601860833868,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,0,translation,0.0,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,0,rotation,0.0,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,0,gripper,0.0,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,0,arm_original,0.0,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,1,translation,0.03778707187936266,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,1,rotation,0.005941623843986108,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,1,gripper,0.11464086252313004,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,1,arm_original,0.027047788219367815,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,2,translation,0.05567989847417251,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,2,rotation,0.009740890695943732,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,2,gripper,0.2251354226116549,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,2,arm_original,0.0399695887247072,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,3,translation,0.06866469499976009,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,3,rotation,0.012303577582703123,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,3,gripper,0.2907075435860236,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,3,arm_original,0.04932655654281816,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,4,translation,0.07814581759044328,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,4,rotation,0.014094351600006848,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,4,gripper,0.3642604570287605,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,4,arm_original,0.056148996223901675,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,5,translation,0.08329761759245238,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,5,rotation,0.014346396672551531,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,5,gripper,0.37269964676912015,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,5,arm_original,0.05976751707267348,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,6,translation,0.08768986057322216,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,6,rotation,0.015187036125229088,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,6,gripper,0.3967760766148776,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,6,arm_original,0.06292915744557588,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,7,translation,0.09003042387091749,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,7,rotation,0.016098647541485062,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,7,gripper,0.373975803679736,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,7,arm_original,0.06467087317735098,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,8,translation,0.0926574680996792,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,8,rotation,0.016583141759078324,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,8,gripper,0.3516009152874731,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,8,arm_original,0.06655977383241606,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,9,translation,0.09291901484591358,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,9,rotation,0.017255764950592695,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,9,gripper,0.3331260073635596,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,9,arm_original,0.06682703324241325,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,10,translation,0.09785682704146619,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,10,rotation,0.01833985898807622,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,10,gripper,0.32742536281471696,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,10,arm_original,0.07039996103097623,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,11,translation,0.09695048736204576,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,11,rotation,0.019026388554166402,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,11,gripper,0.3600818972284414,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,11,arm_original,0.06986200849228537,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,12,translation,0.10180702058842,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,12,rotation,0.01984058901572993,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,12,gripper,0.32982625456571857,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,12,arm_original,0.07334275156272119,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,13,translation,0.10557830054683344,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,13,rotation,0.020380383796585473,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,13,gripper,0.2795826506453776,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,13,arm_original,0.07603334002282687,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,14,translation,0.11183428972265984,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,14,rotation,0.020819656526144568,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,14,gripper,0.22704433438834548,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,14,arm_original,0.08043744916280741,controller_native_action
