condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,24,303,233,70,0.768976897689769,0.7640711220110362,0.895462586518254,0.14196707280943496,0.06133674126031237,False,,0.17862765779020476,0.20523465086144188
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,25,300,227,73,0.7566666666666667,0.761752459115322,0.8903712689434041,0.14999403136958517,0.06788609586030207,False,,0.18537679386254033,0.190869427373914
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,26,296,219,77,0.7398648648648649,0.7565083318507976,0.8812437675221241,0.15897001955894086,0.06355985154726491,False,,0.19401181586952818,0.18061681528795503
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,27,294,214,80,0.7278911564625851,0.7503504672897197,0.8710459831209331,0.165192207182858,0.05862263032440942,False,,0.19980111624891983,0.17321679536036605
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,28,291,208,83,0.7147766323024055,0.7260773864689527,0.8488627314941056,0.17606956546950622,0.06996238825047744,False,,0.205568487434641,0.14349924121766844
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,29,289,206,83,0.71280276816609,0.7241197800912388,0.8469297220297932,0.17767631699185815,0.07481241010013795,False,,0.2059465129149699,0.13726960230098095
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,30,289,200,89,0.6920415224913494,0.7098876404494382,0.8218473719118371,0.18966444112103523,0.07359750265716307,False,,0.21519484327673813,0.11863854062186374
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,31,288,196,92,0.6805555555555556,0.7094055013309671,0.8134366313740249,0.19301209289374568,0.07474173070907907,False,,0.21930260462977857,0.11988235060142538
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,32,287,194,93,0.6759581881533101,0.7102316816317481,0.8111572901676425,0.1940299060245293,0.08446566395776299,False,,0.2207107478502448,0.12088601069767035
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,33,284,187,97,0.6584507042253521,0.7051105353106566,0.7990085159377063,0.2025026566149971,0.09315640947784458,False,,0.2275188474006327,0.10995216911232475
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,34,284,182,102,0.6408450704225352,0.7073367808661927,0.7874723947463014,0.20694350920574311,0.10332180412314153,False,,0.23412855849132957,0.11611163311627015
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,35,283,179,104,0.6325088339222615,0.7088525999140525,0.7842153909003544,0.20762775627158497,0.09016847436926033,False,,0.23627333847444035,0.1212391647225749
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,36,281,175,106,0.6227758007117438,0.7048517520215634,0.7723653465050776,0.21084735410534028,0.09187786797951715,False,,0.23934758713372956,0.11907466195790595
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,37,280,173,107,0.6178571428571429,0.7101183080330614,0.7736515333801095,0.20993218546811226,0.08916592728998562,False,,0.24016343054374698,0.12587780332413234
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,38,277,167,110,0.6028880866425993,0.7062602068590093,0.7611536630772963,0.21579887406814072,0.1009220345822361,False,,0.24459527893859329,0.1177308286382831
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,39,274,164,110,0.5985401459854015,0.7092017738359202,0.7539135782384674,0.21455508325578654,0.08346504100600118,False,,0.24581881055496513,0.12718199729547552
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,40,270,161,109,0.5962962962962963,0.7134879480312268,0.7554437049749175,0.21349618131329967,0.09328912547079218,False,,0.2452471856268681,0.12946531570754116
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,41,267,159,108,0.5955056179775281,0.7131959003028185,0.7558994013281914,0.2131867858307158,0.09384839933595661,False,,0.24477517958980743,0.1290506407227533
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,42,264,155,109,0.5871212121212122,0.7166025451316957,0.7548997331545733,0.2143003181733993,0.09344081113928245,False,,0.24589627668217406,0.12849303346554197
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,43,259,153,106,0.5907335907335908,0.7170427919595511,0.759436998820367,0.21248182447608965,0.08842516333811927,False,,0.24358215358215365,0.12767901362516976
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,44,256,146,110,0.5703125,0.701307596513076,0.7303450392783689,0.222322291471582,0.08078475827000398,False,,0.2471974872798964,0.10062883762304897
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,45,252,143,109,0.5674603174603174,0.7132867132867133,0.7349999228242187,0.21761785537687117,0.09090253351963094,False,,0.24701008607493533,0.11899202645979179
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,46,248,137,111,0.5524193548387096,0.6998092983494444,0.7135165245972982,0.22464000821940186,0.09464879984585042,False,,0.24840636013022163,0.09567529550515852
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,47,245,131,114,0.5346938775510204,0.7008838891120932,0.7016201859294643,0.22555353729063096,0.08081596140323068,False,,0.25049502867262613,0.09956880786880362
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,48,244,127,117,0.5204918032786885,0.7052964533279494,0.6946225553817136,0.22616724917881895,0.08989621444542464,False,,0.2511999252590032,0.09965240258082864
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,49,242,122,120,0.5041322314049587,0.7155737704918033,0.696815403712651,0.22256028150243684,0.0868552912710008,False,,0.25199945364392295,0.11682236495275855
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,50,238,114,124,0.4789915966386555,0.7208545557441992,0.6803103308857265,0.22112950825226585,0.09141222247109092,False,,0.25253603535914615,0.12436453697475391
