condition,model,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,82,328,61,267,0.18597560975609756,0.8784306502118254,0.6218523031813067,0.10474450906153142,0.046989463669041,False,,0.12019244893463557,0.12852670870784255
A_chunk_only,monotone_conditional_survival_shared_mlp,83,322,60,262,0.18633540372670807,0.8810432569974554,0.6274425621659289,0.10393971501132238,0.042158715407429714,False,,0.12045492939399241,0.13710700314016133
A_chunk_only,monotone_conditional_survival_shared_mlp,84,320,60,260,0.1875,0.8826282051282052,0.6325302138926112,0.10403297189342182,0.04438116758837408,False,,0.12099113154837879,0.14016035256415615
A_chunk_only,monotone_conditional_survival_shared_mlp,85,316,60,256,0.189873417721519,0.8828776041666667,0.6272243801111259,0.1049810108467943,0.037234248870742406,False,,0.12199133629793045,0.13943879924057134
A_chunk_only,monotone_conditional_survival_shared_mlp,86,308,59,249,0.19155844155844157,0.883193792117623,0.6307713198974435,0.10545852283419567,0.03797363000167994,False,,0.12273417175823167,0.14075663424907048
A_chunk_only,monotone_conditional_survival_shared_mlp,87,304,58,246,0.19078947368421054,0.8864592094196804,0.6334405891557403,0.10483624751547346,0.044331790948941026,False,,0.1225610730062125,0.14462035176405952
A_chunk_only,monotone_conditional_survival_shared_mlp,88,292,54,238,0.18493150684931506,0.8786181139122315,0.6026036399322605,0.10771301478389776,0.054491558028062576,False,,0.1205434448291377,0.10643822286169291
A_chunk_only,monotone_conditional_survival_shared_mlp,89,286,54,232,0.1888111888111888,0.8815453384418902,0.6095177267226949,0.10873306515305303,0.056528126375437804,False,,0.12220719411307646,0.11025643013746
A_chunk_only,monotone_conditional_survival_shared_mlp,90,282,52,230,0.18439716312056736,0.8816053511705686,0.6043473400337291,0.10710018738266565,0.05936389729683045,False,,0.12037122186002354,0.11025089113733866
A_chunk_only,monotone_conditional_survival_shared_mlp,91,278,49,229,0.17625899280575538,0.8930576597451207,0.6145496262466353,0.09927006284252402,0.05031411117163697,False,,0.11742630773557632,0.15461820475473875
A_chunk_only,monotone_conditional_survival_shared_mlp,92,270,46,224,0.17037037037037037,0.8924689440993789,0.5962442979219359,0.09719950430278546,0.04757788598436498,False,,0.11295729166666665,0.1395021705228373
A_chunk_only,monotone_conditional_survival_shared_mlp,93,264,43,221,0.16287878787878787,0.8948753025360412,0.6027503946479256,0.09252550461932937,0.04170249767207,False,,0.11014321368234119,0.15995274219819122
A_chunk_only,monotone_conditional_survival_shared_mlp,94,260,42,218,0.16153846153846155,0.8918741808650066,0.5928395617830569,0.09324804528459066,0.04090422958104906,False,,0.10962181083452127,0.14936594666044611
A_chunk_only,monotone_conditional_survival_shared_mlp,95,252,41,211,0.1626984126984127,0.8881054213385736,0.5884512159543736,0.0951680389954359,0.04132213830329954,False,,0.11019894276177536,0.13639789447737993
A_chunk_only,monotone_conditional_survival_shared_mlp,96,252,41,211,0.1626984126984127,0.8871806727545949,0.5878624387806698,0.09581507988307716,0.05378513069969473,False,,0.11022993105465785,0.13077075376589897
A_chunk_only,monotone_conditional_survival_shared_mlp,97,252,41,211,0.1626984126984127,0.8857935498786268,0.5859315978446237,0.09663080263616694,0.05009978824763013,False,,0.11027565323004204,0.12373402645288412
A_chunk_only,monotone_conditional_survival_shared_mlp,98,250,40,210,0.16,0.8842857142857142,0.5820207960691711,0.09647936210819644,0.05296525732205425,False,,0.10927045196313599,0.11705900017009918
A_chunk_only,monotone_conditional_survival_shared_mlp,99,246,40,206,0.16260162601626016,0.8885922330097087,0.5974736762889459,0.09635789344549438,0.04994020021461265,False,,0.11047613094270885,0.1277944600045413
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,1,674,651,23,0.9658753709198813,0.9206571829292727,0.9969703186733206,0.02794071715441972,0.016837276608145657,False,,0.03179571857208507,0.12124278333026361
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,2,670,631,39,0.9417910447761194,0.9323011906213174,0.9956459488827941,0.04701648353935021,0.0308365996786102,False,,0.05143357304355249,0.08587949937800388
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,3,664,611,53,0.9201807228915663,0.9311058271315196,0.9936891620475258,0.05299025460339815,0.021345029825223606,False,,0.06756963163777621,0.21576818877057713
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,4,660,601,59,0.9106060606060606,0.9392255844778477,0.9937380538945734,0.052889400883170276,0.03426563053775265,False,,0.07396341138387637,0.28492480412146204
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,5,660,593,67,0.8984848484848484,0.9450303289622712,0.9935962843400675,0.05406108662433221,0.02494320569627949,False,,0.08221218546861095,0.34242002792915627
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,6,658,581,77,0.8829787234042553,0.9346625835438228,0.9895588778456793,0.056461003923496164,0.02058399496658463,False,,0.09249116610700348,0.3895524697117976
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,7,656,574,82,0.875,0.9301436219937113,0.9842952051423377,0.056714134971415156,0.020166876173655035,False,,0.09771934490594321,0.4196222352288216
